,Country Name,Dietary Sodium,Added sugars,Dietary fiber,Dietary cholesterol,Plant omega-3 fat,Seafood omega-3 fat,Total omega-6 fat,Monounsaturated fatty acids,Saturated fat,Total protein,Total carbohydrates,Value
77,Cabo Verde,2072.07053870449,1.94547855989703,58.863881781111,151.663460821001,804.051826384817,150.543546745821,2.72159690134023,11.9835760105903,11.631206172003,72.7026126618663,59.6420104107158,16.3
78,Costa Rica,2616.64226902594,13.7663122347066,23.5812375052386,301.722905346376,814.828871666362,189.263134343162,2.63655893531567,10.4577089840519,10.7252993455148,68.1428440092214,54.7611652985812,21.1
79,Costa Rica,2525.2308680197,14.2094147389356,24.096258677166,289.42157976946,779.55768631349,177.136572481868,2.64878035809128,10.4457951077234,11.2815191396014,66.2936903317513,57.0375944073782,30.4
80,Cuba,2430.42627349517,15.5664685289363,6.95144289791784,387.409545653749,533.990431108553,41.4066479084936,2.58909241423019,14.1602927149642,6.47013883237411,80.5086895258353,57.2514987352013,18.9
81,Cuba,2351.43020687664,16.0634774744718,7.08474918507241,371.712639803923,508.593731829902,38.8575092929973,2.60311843139293,14.1115022523531,6.85343626808618,78.4652388325568,59.4769638918767,30.3
82,Cyprus,2673.38757798634,7.76334992067282,11.5265541083058,251.616865010661,1769.3289524625,321.93259846878,2.74377115769963,13.6993270452308,11.8833691902908,78.4732955768025,46.1491644906494,21.9
83,Cyprus,2465.20056099761,8.08240868128127,11.8953938359969,244.476641693505,1819.08852765332,313.369309350706,2.76069212880713,13.6695102695928,12.5159558547146,73.1816660654567,49.2925361674339,21.6
84,Czechia,3095.8448737802,7.96887703298059,17.5703126279165,322.720771951639,883.316978348909,731.215788866035,2.62086705742238,12.0959706082303,13.8482724784258,53.2971781666569,43.2366140841285,26.4
85,Czechia,2777.07031614563,7.23896306303226,17.5830949776219,302.019220484657,763.630391018922,634.188876972381,2.63673091682532,11.3062465416038,14.3025618795432,49.890484865191,49.2834887027453,25.4
86,Germany,2531.01911084706,8.50067784592477,24.5766191325073,277.617471445637,1296.39881959578,208.56734237288,2.64552938153158,12.7130830867602,14.8657592284984,92.73033601728352,45.0435548289359,24.2
87,Germany,2330.82092199238,8.82001609952617,25.6261473141961,272.170545295713,1358.25710378526,203.657521606185,2.66130798815323,12.4466757549706,15.1618257202223,89.3823725722683,47.1465986664009,20.4
88,Djibouti,1789.94188151821,21.1685788428597,43.0628144551115,147.703487918519,428.950809112239,24.6081639617399,2.61180030981547,11.22384441352,10.0197355833916,88.6190468979315,57.4506034195064,8.6
89,Djibouti,1697.66731169345,21.8704426133497,43.2352349163294,140.668010972333,441.51430185162,22.6484194924938,2.62848288520914,10.9291047790612,10.49205717449,83.3799868518749,61.2646819160611,18.3
90,Dominica,2492.48787258393,10.5430440215077,15.5556334872826,182.833467344305,545.378571784635,82.2492812939433,2.49671665706667,12.7146346135981,10.677598239113,59.651286409657,56.6450144821635,19.9
91,Dominica,2412.88473989564,10.946336751057,15.9168885691707,175.463316419833,520.569166211975,77.2440794582504,2.50830384547932,12.6701558246135,11.128371477251,58.2462932101391,58.8442508465056,35.6
92,Denmark,2855.7620217585,17.3288599601937,22.1267135124275,258.87641467911,961.594473026337,311.39337145648,2.57481142014463,14.4180870903679,13.7336713329027,89.7239752975713,45.9697457187973,22.3
93,Denmark,2576.48228364366,17.8168390391767,23.3179268062422,251.342187687486,992.622353793518,308.608125919968,2.58832715397743,14.3515637045871,13.9052159792273,83.7453741406404,49.135072674421,17.0
94,Dominican Republic,2373.43402674537,8.71453133388771,18.213613833682,278.639308021799,871.612633731666,144.297158284442,2.71274193200497,10.4391708336308,10.6907502759386,70.6476828040744,54.7347004988962,21.0
